user_input,response,reference,faithfulness,answer_relevancy,context_precision,context_recall
When and where was Northwind Robotics founded?,"Northwind Robotics was founded in 2017 in Tallinn, Estonia [1].","Northwind Robotics was founded in 2017 in Tallinn, Estonia.",1.0,0.9936150543111744,0.9999999999,1.0
How many paid vacation days do full-time employees receive per year?,Full-time employees receive 27 days of paid vacation per year [1].,"Full-time employees receive 27 days of paid vacation per year, in addition to public holidays.",1.0,0.9907933013790154,0.9999999999,0.3333333333333333
How many unused vacation days can be carried over to the next year?,"According to the vacation policy, unused vacation days can be carried over into the first quarter of the following year, up to a maximum of 5 days [1].",Up to 5 unused vacation days can be carried over into the first quarter of the following year.,1.0,0.8741712548915747,0.9999999999,1.0
What authentication is required to access production systems?,All employees must use hardware security keys for authentication to production systems [1]. Passwords alone are never sufficient for access to customer data [1].,All employees must use hardware security keys; passwords alone are never sufficient.,1.0,0.9796547720991214,0.9999999999,1.0
What is the home office stipend for remote employees and how often does it renew?,"The home office stipend for remote employees is $1,200, and it renews every three years [1].","Remote employees receive a one-time home office stipend of $1,200, which renews every three years.",1.0,0.9307692878734308,0.9999999999,1.0
What bonus do engineers receive for being on call?,Engineers receive a compensation bonus of 8% of weekly salary for being on call [1].,The on-call rotation includes a compensation bonus of 8% of weekly salary.,1.0,0.9589730669280332,0.9999999999,0.0666666666666666
What is the maximum payload of the Atlas P-100?,The maximum payload of the Atlas P-100 is 15 kg [1].,The Atlas P-100 carries payloads of up to 15 kg.,1.0,1.0,0.9999999999,0.0714285714285714
What is the top speed of the Atlas P-100 robot?,The top speed of the Atlas P-100 robot is 2.5 m/s [1].,The Atlas P-100 travels at a top speed of 2.5 m/s.,1.0,1.0000000000000002,0.9999999999,1.0
How long does the P-100 battery last and how fast does it charge?,The P-100 battery pack is rated for 8 hours of continuous operation [1]. The battery can be restored to 80% capacity in 45 minutes using a fast-charge dock [1].,"The battery is rated for 8 hours of continuous operation, and the fast-charge dock restores 80% capacity in 45 minutes.",1.0,0.8458467733675703,0.9999999999,1.0
What type of battery does the Atlas P-100 use?,The Atlas P-100 uses a lithium iron phosphate (LiFePO4) battery pack [1].,It uses a lithium iron phosphate (LiFePO4) battery pack.,1.0,0.960716506205017,0.9999999999,1.0
What sensors does the P-100 use for navigation?,I could not find this in the provided documents.,Navigation combines six stereo camera pairs with two solid-state lidar units with a range of 100 meters.,1.0,0.0,0.0,0.0
How many robots can the Hive fleet manager support per site?,The Hive fleet manager supports up to 500 robots per site [1].,The Hive fleet manager supports up to 500 robots per site.,1.0,0.9914883251266812,0.9999999999,1.0
How quickly does the P-100 emergency stop system halt the robot?,The P-100 emergency stop system halts the robot within 250 milliseconds [1].,The emergency stop system halts the robot within 250 milliseconds.,1.0,0.8616411297777543,0.9999999999,1.0
What safety standard does the Atlas P-100 comply with?,The Atlas P-100 complies with the ISO 3691-4 standard for driverless industrial trucks [1].,The P-100 complies with the ISO 3691-4 standard for driverless industrial trucks.,1.0,0.9380018482349288,0.9999999999,0.1111111111111111
What was Northwind's revenue in Q3 2025 and how much did it grow?,"Northwind Robotics' revenue in Q3 2025 was EUR 18.4 million [1], which represents a 22% increase year over year [1].","Q3 2025 revenue was EUR 18.4 million, an increase of 22% year over year.",1.0,0.8983772478028299,0.7499999999625,0.5
